,,,,,,,,,,,,
,Part No,Nominal Inductance(nH/N²),,,Path Length (cm),Cross Section Area (cm²),Dimensions(mm),,,,,
,,,,,,,Before Finish Dimensions,,,After Finish Dimensions,,
,,,,,,,OD(mm),ID(mm),HT(mm),OD(mm),ID(mm),HT(mm)
,,26u,060u,125u,,,MAX,MIN,MAX,MAX,MIN,MAX
,CH097GT,14,32,67,2.18,0.095,9.65,4.78,3.96,10.29,4.27,4.57
,CH102GT,14,32,67,2.38,0.1,10.16,5.08,3.96,10.8,4.57,4.57
,CH112GT,11,26,54,2.69,0.091,11.18,6.35,3.96,11.9,5.89,4.72
,CH127GT,12,27,56,3.12,0.114,12.7,7.62,4.75,13.46,6.99,5.51
,CH147GT,14,32,67,3.63,0.154,14.7,8.9,5.6,15.5,8.2,6.4
,CH166GT,15,35,73,4.11,0.192,16.51,10.16,6.35,17.4,9.53,7.11
,CH172GT,19,43,90,4.14,0.232,17.27,9.65,6.35,18.03,9.02,7.11
,CH203GT,14,32,67,5.09,0.226,20.32,12.7,6.35,21.1,12.07,7.11
,CH229GT,19,43,90,5.67,0.331,22.86,13.97,7.62,23.62,13.39,8.38
,CH234GT,22,51,106,5.88,0.388,23.57,14.4,8.89,24.3,13.77,9.7
,CH252GT,27,62,130,6.1,0.504,25.2,14.6,10,26,13.9,10.8
,CH270GT,33,75,156,6.35,0.654,26.92,14.73,11.18,27.7,14.1,11.99
,CH300GT,29,68,141,7.27,0.652,30,17.4,10.9,30.8,16.7,11.8
,CH330GT,26,61,127,8.15,0.672,33.02,19.94,10.67,33.83,19.3,11.61
,CH343GT,16,38,79,8.95,0.454,34.29,23.37,8.89,35.2,22.6,9.83
,CH358GT,24,56,117,8.98,0.678,35.81,22.35,10.46,36.7,21.5,11.28
,CH378GT,30,70,145,9.4,0.867,37.8,23.2,12.5,38.7,22.3,13.4
,CH400GT,35,81,169,9.84,1.072,39.88,24.13,14.48,40.7,23.3,15.37
,CH434GT,40,92,191,10.74,1.308,43.4,26.4,16.2,44.3,25.5,17.1
,CH467GT,59,135,281,10.74,1.99,46.74,24.13,18.03,47.6,23.3,18.92
,CH468GT,37,86,179,11.63,1.34,46.74,28.7,15.24,47.6,27.9,16.13
,CH488GT,44,101,210,11.74,1.569,48.8,27.9,15.8,49.7,27,16.7
,CH508GT,32,73,152,12.73,1.25,50.8,31.75,13.46,51.7,30.9,14.35
,CH540GT,44,102,213,12.63,1.71,54,29,14.4,54.9,28.1,15.3
,CH571GT,60,138,288,12.5,2.29,57.15,26.39,15.24,58,25.6,16.1
,CH572GT,33,75,156,14.3,1.444,57.15,35.56,13.97,58,34.7,14.86
,CH596GT,54,125,260,14.33,2.371,59.6,34,19.5,60.6,33,20.5
,CH610GT,83,192,400,14.37,3.675,62,32.6,25,63.1,31.37,26.27
,CH640GT,49,113,234,16.04,2.394,64,40,21,65.1,39,22.1
,CH680GT,62,143,299,15.81,3.008,68,36,20,69.1,35,21.1
,CH740GT,89,206,429,18.39,4.788,74.1,45.3,35,75.2,44.07,36.27

